,name,rating,rating_count,industry,reviews,salaries,interviews,jobs,benefits,photos
6111,Vision IAS,2.3,(180),Education & Training | New Delhi +10 other locations,180,648,8,--,3,--
6112,Kent,3.6,(180),Financial Services | Noida +54 other locations,180,732,7,--,6,2
6113,Bharat Benz,4.3,(180),Automobile | Chennai +78 other locations,180,545,9,--,24,3
6114,Jarvis Technology and Strategy Consulting,3.3,(180),Management Consulting | New Delhi +38 other locations,180,790,24,2,7,3
6115,Apollo Spectra Hospitals,4.4,(180),Healthcare | New Delhi +20 other locations,180,472,16,--,15,--
6116,KP GROUP,4.2,(180),Logistics | Surat +28 other locations,180,521,19,610,8,2
6117,Oxford University Press,3.3,(180),Printing & Publishing | New Delhi +28 other locations,180,920,7,29,19,--
6118,Cadworks India,4.8,(180),Design | New Delhi +6 other locations,180,61,8,--,6,--
6119,Birla Cellulose,3.5,(180),Pulp & Paper | Bharuch +15 other locations,180,735,12,--,17,--
6120,Muthoot Mercantile,3.4,(183),NBFC | Thiruvananthapuram +52 other locations,183,560,13,4,6,1
6121,AMBITION JOB,4.1,(180),Recruitment | Hyderabad +27 other locations,180,77,47,--,22,--
6122,Vardhman Special Steels,4.0,(180),Iron & Steel | Ludhiana +5 other locations,180,673,12,9,8,--
6123,Miraj Group,4.0,(179),Printing & Publishing | Udaipur +26 other locations,179,757,12,--,15,3
6124,Indus Motors,4.0,(179),Automobile | Kochi +32 other locations,179,645,3,5,15,--
6125,Swelect Energy Systems,4.0,(179),Electrical Equipment | Chennai +41 other locations,179,501,15,--,8,--
6126,Sakarni Plaster,4.4,(179),Building Material | New Delhi +28 other locations,179,354,46,--,5,--
6127,KDK Software,2.8,(179),Software Product | Jaipur +13 other locations,179,401,20,34,22,2
6128,Zeon Lifesciences,4.0,(179),Fitness & Wellness | Paonta Sahib +6 other locations,179,683,41,14,13,2
6129,Nippon Konpo,4.1,(179),Logistics | Gurugram +17 other locations,179,541,9,--,12,--
6130,VBeyond Corporation,4.0,(179),Recruitment | Lucknow +8 other locations,179,752,12,21,19,11
6131,Kamdhenu,3.7,(179),Building Material | Gurugram +45 other locations,179,550,10,9,16,--
6132,SmartSchool Education,4.6,(179),EdTech | Noida +13 other locations,179,434,44,2,49,--
6133,Sulphur Mills,3.6,(179),Agro Chemicals | Mumbai +31 other locations,179,821,13,16,21,5
6134,Aptonline,3.3,(179),IT Services & Consulting | Hyderabad +6 other locations,179,1.2k,5,--,17,--
6135,Prgx India,3.4,(179),Accounting & Auditing | Pune +2 other locations,179,1.2k,14,63,21,--
6136,Swal Corporation,4.2,(179),Agro Chemicals | Pune +78 other locations,179,339,10,--,10,--
6137,S kant Healthcare Ltd,4.7,(179),Pharma | Vapi +8 other locations,179,482,8,4,8,16
6138,National Aerospace Laboratories,4.3,(179),Defence & Aerospace | Bengaluru +2 other locations,179,781,14,--,27,--
6139,United Nations Development Programme,4.1,(179),Non-Profit | New Delhi +58 other locations,179,502,16,--,15,5
6140,Prgx India,3.4,(179),Accounting & Auditing | Pune +2 other locations,179,1.2k,14,63,21,--
6141,Sulphur Mills,3.6,(179),Agro Chemicals | Mumbai +31 other locations,179,821,13,16,21,5
6142,Miraj Group,4.0,(179),Printing & Publishing | Udaipur +26 other locations,179,757,12,--,15,3
6143,Aptonline,3.3,(179),IT Services & Consulting | Hyderabad +6 other locations,179,1.2k,5,--,17,--
6144,Tripjack,4.0,(179),Internet | Mumbai +11 other locations,179,602,35,43,2,22
6145,National Aerospace Laboratories,4.3,(179),Defence & Aerospace | Bengaluru +2 other locations,179,781,14,--,27,--
6146,United Nations Development Programme,4.1,(179),Non-Profit | New Delhi +58 other locations,179,502,16,--,15,5
6147,Teleminds Infotech,2.8,(179),BPO | Kolkata +2 other locations,179,657,13,2,20,3
6148,MaxVal Group,3.2,(179),IT Services & Consulting | Coimbatore +8 other locations,179,1k,22,10,9,12
6149,Allset Business Solutions,3.8,(179),BPO | Chennai +11 other locations,179,936,15,--,7,--
6150,Qube Cinema Technologies,3.8,(179),Media & Entertainment | Chennai +11 other locations,179,789,7,43,19,--
6151,Hitek Syndicate,3.6,(178),Banking | New Delhi +16 other locations,178,426,8,1,6,--
6152,MSV International,3.8,(178),Engineering & Construction | Gurugram +64 other locations,178,498,15,15,10,--
6153,Vestian Global Workplace Services,3.3,(179),Real Estate | Bengaluru +16 other locations,179,812,6,12,9,9
6154,Starworth Infrastructure Construction,3.6,(178),Engineering & Construction | Bengaluru +8 other locations,178,739,12,7,7,--
6155,DESIGNCO,3.9,(178),Import & Export | Moradabad +7 other locations,178,724,14,8,13,--
6156,MYND Intergrated Solutions,3.3,(178),BPO | Gurugram +13 other locations,178,600,14,--,3,4
6157,AMS Comtel BPMS,3.2,(178),IT Services & Consulting | New Delhi +13 other locations,178,730,10,6,11,5
6158,GoMechanic,3.3,(178),Internet | Gurugram +23 other locations,178,2k,54,--,25,1
6159,alliantgroup,2.2,(191),Management Consulting | Hyderabad +3 other locations,191,1k,24,--,8,--
6160,Don Bosco Tech Society,4.0,(178),Non-Profit | New Delhi +50 other locations,178,329,11,10,25,1
6161,Hitek Syndicate,3.6,(178),Banking | New Delhi +16 other locations,178,426,8,1,6,--
6162,Jubilant Industries,3.8,(178),Agro Chemicals | New Delhi +35 other locations,178,1.2k,18,--,14,--
6163,Diksha Technologies,3.1,(178),IT Services & Consulting | Bengaluru +6 other locations,178,813,5,15,38,--
6164,Qatar Petroleum,4.3,(178),Oil & Gas | Doha +11 other locations,178,388,14,--,28,--
6165,ANEWA Engineering,3.7,(178),Engineering & Construction | Hyderabad +1 other locations,178,949,4,2,15,--
6166,Starworth Infrastructure Construction,3.6,(178),Engineering & Construction | Bengaluru +8 other locations,178,739,12,7,7,--
6167,Vestian Global Workplace Services,3.3,(179),Real Estate | Bengaluru +16 other locations,179,812,6,12,9,9
6168,DESIGNCO,3.9,(178),Import & Export | Moradabad +7 other locations,178,724,14,8,13,--
6169,MYND Intergrated Solutions,3.3,(178),BPO | Gurugram +13 other locations,178,600,14,--,3,4
6170,AMS Comtel BPMS,3.2,(178),IT Services & Consulting | New Delhi +13 other locations,178,730,10,6,11,5
6171,Lithium Urban Technologies,3.5,(178),Urban Transport | Bengaluru +13 other locations,178,663,9,3,5,7
6172,Gangar Eyenation,3.7,(178),Retail | Mumbai +22 other locations,178,516,11,29,17,--
6173,Karam Safety,4.2,(178),Industrial Machinery | Lucknow +22 other locations,178,705,6,--,1,--
6174,Blue Tokai Coffee Roasters,3.8,(178),Beverage | New Delhi +10 other locations,178,611,10,6,15,1
6175,SHREE VASU LOGISTICS,3.1,(178),Logistics | Raipur +21 other locations,178,474,19,11,7,--
6176,alliantgroup,2.2,(191),Management Consulting | Hyderabad +3 other locations,191,1k,24,--,8,--
6177,Blue Rose Technologies,4.1,(178),IT Services & Consulting | Bengaluru +12 other locations,178,1k,18,1,12,2
6178,Ansal Api,3.8,(178),Real Estate | New Delhi +17 other locations,178,458,12,--,10,--
6179,River Engineering,3.6,(178),Industrial Machinery | Greater Noida +10 other locations,178,841,9,--,18,--
6180,Diksha Technologies,3.1,(178),IT Services & Consulting | Bengaluru +6 other locations,178,813,5,15,38,--
6181,Qatar Petroleum,4.3,(178),Oil & Gas | Doha +11 other locations,178,388,14,--,28,--
6182,Trellix,3.5,(178),Software Product | Bengaluru +3 other locations,178,1.4k,24,46,3,5
6183,ANEWA Engineering,3.7,(178),Engineering & Construction | Hyderabad +1 other locations,178,949,4,2,15,--
6184,Crescon Projects & Services,3.6,(178),Engineering & Construction | Chennai +21 other locations,178,685,15,1,9,--
6185,Bajaj Steel Industries,3.3,(178),Industrial Machinery | Nagpur +8 other locations,178,1.1k,13,7,11,--
6186,Anytime Fitness,3.6,(177),Fitness & Wellness | New Delhi +31 other locations,177,741,14,66,11,--
6187,Magnit Global,3.3,(178),Software Product | Vadodara +6 other locations,178,708,18,--,1,12
6188,Ultra Engineers,4.0,(177),Industrial Machinery | Pune +8 other locations,177,862,12,--,19,--
6189,SeQuent Scientific,3.8,(177),Pharma | Mumbai +17 other locations,177,722,3,2,12,--
6190,Mansukh Securities & Finance,3.2,(177),Financial Services | Ahmedabad +11 other locations,177,804,23,2,6,--
6191,Ayoki Fabricon,3.8,(177),Engineering & Construction | Pune +25 other locations,177,701,7,14,13,--
6192,Nabard Consultancy Services,3.8,(177),Management Consulting | New Delhi +56 other locations,177,493,16,2,8,1
6193,Apollo Cradle,4.2,(177),Healthcare | Bengaluru +13 other locations,177,365,20,--,6,--
6194,Arwade Infrastructure,4.0,(177),Engineering & Construction | Pune +11 other locations,177,539,10,--,12,--
6195,Eros Group,4.1,(177),Real Estate | New Delhi +13 other locations,177,719,16,8,19,19
6196,Aster MIMS,4.4,(177),Healthcare | Kozhikode +19 other locations,177,760,10,--,14,--
6197,Wintax Solution,4.6,(177),Recruitment | Surat +61 other locations,177,26,4,--,114,2
6198,Hyderabad Metro Rail,4.1,(177),Railways | Hyderabad +5 other locations,177,517,11,--,22,--
6199,Matrix Cellular Services,4.0,(177),Telecom | New Delhi +20 other locations,177,450,2,--,18,--
6200,Dr B Lal Clinical Laboratory,4.0,(177),Healthcare | Jaipur +13 other locations,177,406,10,3,20,8
6201,Republic TV,2.9,(177),Media & Entertainment | Noida +8 other locations,177,781,19,--,6,--
6202,Vilcart,3.7,(177),Internet | Bengaluru +49 other locations,177,403,13,--,3,2
6203,Anytime Fitness,3.6,(177),Fitness & Wellness | New Delhi +31 other locations,177,741,14,66,11,--
6204,Cipla Industries,3.9,(177),Pharma | Indore +31 other locations,177,707,12,--,30,1
6205,MSL Driveline Systems,4.2,(177),Auto Components | Nashik +8 other locations,177,629,3,--,14,2
6206,Hindustan Platinum,3.5,(177),Metals & Mining | Mumbai +4 other locations,177,1.2k,20,15,16,--
6207,Arwade Infrastructure,4.0,(177),Engineering & Construction | Pune +11 other locations,177,539,10,--,12,--
6208,Matrix Cellular Services,4.0,(177),Telecom | New Delhi +20 other locations,177,450,2,--,18,--
6209,Natural Remedies,3.8,(177),Pharma | Bengaluru +21 other locations,177,741,15,1,13,--
6210,RPP Infra Projects,3.9,(177),Engineering & Construction | Chennai +32 other locations,177,725,24,--,7,--
6211,Kolors Healthcare,3.6,(177),Healthcare | Hyderabad +31 other locations,177,676,16,7,9,1
6212,Gainwell Technologies,4.0,(177),IT Services & Consulting | Bengaluru +10 other locations,177,1.5k,29,23,10,7
6213,Eros Group,4.1,(177),Real Estate | New Delhi +13 other locations,177,719,16,8,19,19
6214,Hyderabad Metro Rail,4.1,(177),Railways | Hyderabad +5 other locations,177,517,11,--,22,--
6215,Som Projects (S.P.L),3.8,(177),Engineering & Construction | New Delhi +25 other locations,177,611,16,4,9,5
6216,Techugo,3.7,(177),Software Product | Noida +7 other locations,177,470,16,10,6,2
6217,Volante Technologies,3.3,(177),FinTech | Chennai +5 other locations,177,1.5k,18,2,17,--
6218,LiquidHub,3.6,(176),IT Services & Consulting | Hyderabad / Secunderabad +8 other locations,176,761,14,--,31,--
6219,Ravi Foods,3.9,(176),Food Processing | Hyderabad +34 other locations,176,588,9,--,18,--
6220,Wellspring Healthcare,2.9,(176),Healthcare | Mumbai +27 other locations,176,492,7,--,18,4
6221,Saatvik Green Energy,4.0,(176),Power | Ambala +12 other locations,176,657,13,--,1,1
6222,Macmet Engineering,3.9,(176),Industrial Machinery | Kolkata +16 other locations,176,655,11,4,20,--
6223,Crif Solutions,3.3,(176),FinTech | Pune +2 other locations,176,1.2k,23,--,16,--
6224,IPL Biologicals,4.1,(176),Agriculture | Gurugram +34 other locations,176,611,17,6,10,--
6225,Lalitpur Power Generation,4.3,(176),Power | Lalitpur +10 other locations,176,591,9,--,13,1
6226,Eshopbox Ecommerce,2.9,(176),Internet | Gurugram +5 other locations,176,614,42,18,3,6
6227,L&T Buildings & Factories,3.8,(176),Engineering & Construction | Mumbai +27 other locations,176,158,8,--,95,--
6228,ABT Maruti,4.0,(176),Automobile | Chennai +20 other locations,176,748,3,3,11,9
6229,Jaslok Hospital and Research Centre,4.0,(176),Healthcare | Mumbai +10 other locations,176,731,9,4,18,--
6230,KNNX Corp,2.6,(176),IT Services & Consulting | Noida +7 other locations,176,856,11,--,17,--
6231,Healthplix Technologies,3.0,(176),Fitness & Wellness | Bengaluru +28 other locations,176,1.1k,28,20,15,--
6232,Talwalkars Better Value Fitness,4.2,(176),Fitness & Wellness | Mumbai +55 other locations,176,435,6,--,30,--
6233,Donear Industries,3.2,(176),Fashion & Textile | Mumbai +19 other locations,176,806,8,--,7,--
6234,Swaraj Engines,3.7,(176),Automobile | Sahibzada Ajit Singh Nagar +10 other locations,176,552,10,--,14,--
6235,Polyplastics,3.8,(176),Petrochemicals | Ahmedabad +23 other locations,176,820,4,--,9,--
6236,Mandovi Motors,3.7,(176),Auto Components | Bengaluru +6 other locations,176,534,6,6,14,--
6237,Divgi Torqtransfer Systems,3.2,(176),Auto Components | Pune +7 other locations,176,805,10,--,12,2
6238,General Industrial Controls,3.6,(176),Industrial Automation | Pune +14 other locations,176,1.1k,11,11,6,5
6239,Lakme Salon,3.9,(176),Beauty & Personal Care | Bengaluru +47 other locations,176,464,12,--,14,--
6240,Thinksynq Solutions,3.9,(176),Management Consulting | Chennai +15 other locations,176,671,22,1,12,3
6241,Ashish Life Science,3.7,(176),Pharma | Mumbai +10 other locations,176,564,15,6,53,2
6242,Little Nap Recliners,4.7,(176),Furniture & Furnishing | New Delhi +17 other locations,176,28,22,--,36,72
6243,Archean Chemical Industries,3.8,(176),Chemicals | Bhuj +18 other locations,176,774,12,1,14,--
6244,Bentley Systems,4.2,(176),Software Product | Pune +7 other locations,176,1.4k,21,11,26,15
6245,Vinsum Axpress,2.9,(176),Logistics | Gurugram +22 other locations,176,517,12,9,5,--
6246,Digital Web Solutions,3.9,(176),IT Services & Consulting | Gurugram +7 other locations,176,652,21,46,2,--
6247,Bhavna Corp.,3.5,(176),IT Services & Consulting | Noida +7 other locations,176,961,19,--,8,20
6248,Thriveni Sainik Mining,4.2,(176),Metals & Mining | Hazaribag +11 other locations,176,561,29,2,12,--
6249,Epimoney,3.3,(176),Financial Services | Mumbai +17 other locations,176,798,18,5,1,--
6250,Aster Cmi Hospital,3.8,(176),Healthcare | Bengaluru +7 other locations,176,626,11,--,18,--
6251,Leena Powertech Engineers,3.6,(175),Engineering & Construction | Mumbai +12 other locations,175,532,9,1,6,1
6252,Manikaran Power Limited,3.3,(175),Power | New Delhi +13 other locations,175,712,24,1,12,11
6253,Relyon Softech,3.9,(175),Software Product | Bengaluru +15 other locations,175,916,19,2,20,--
6254,Admiral Solutions,3.2,(175),IT Services & Consulting | New Delhi +4 other locations,175,905,10,5,11,1
6255,INOXCVA,3.3,(175),Engineering & Construction | Vadodara +15 other locations,175,744,8,--,5,--
6256,Fichtner Consulting Engineers,3.8,(175),Engineering & Construction | Chennai +23 other locations,175,722,18,6,8,--
6257,Lal Baba Seamless Tubes,3.0,(175),Industrial Machinery | Haldia +6 other locations,175,790,10,--,14,--
6258,Applus Velosi,3.6,(175),Oil & Gas | Chennai +22 other locations,175,407,8,--,23,--
6259,Presidency University,2.6,(175),Education & Training | Bengaluru +7 other locations,175,726,12,4,15,--
6260,Globe Capital Market,3.5,(175),Investment Banking / Venture Capital / Private Equity | New Delhi +32 other locations,175,642,7,48,3,2
6261,Ananda Dairy,4.0,(175),Agriculture | Noida +34 other locations,175,552,13,--,8,4
6262,Cornerstone OnDemand,3.2,(175),Software Product | Pune +6 other locations,175,1.6k,35,66,7,11
6263,Denso Ten Minda India,4.1,(175),Auto Components | Bawal +10 other locations,175,731,15,--,12,--
6264,Harbinger Systems,3.6,(175),Software Product | Pune +2 other locations,175,1.2k,7,7,14,5
6265,EASTMAN EXPORTS GLOBAL CLOTHING PVT.LTD,3.6,(175),Fashion & Textile | Tiruppur +10 other locations,175,895,6,8,9,--
6266,Indian School of Business,3.3,(175),Analytics & KPO | Hyderabad +9 other locations,175,1k,12,12,13,--
6267,GD Goenka University,3.6,(175),Education & Training | Gurugram +30 other locations,175,768,13,19,15,15
6268,Dr ITM,3.2,(175),BPO | Jaipur +15 other locations,175,456,12,--,10,1
6269,Eurofins Advinus,3.4,(175),Pharma | Bengaluru +7 other locations,175,1.1k,9,6,7,--
6270,Infibeam Avenues,3.4,(175),IT Services & Consulting | Mumbai +11 other locations,175,1.3k,12,11,4,--
6271,Accurate Global Alliances,4.7,(175),Recruitment | Noida +6 other locations,175,59,10,--,2,--
6272,Shankar Packagings,2.6,(175),Packaging | Vadodara +6 other locations,175,828,10,3,11,--
6273,Birdeye,3.2,(175),Marketing & Advertising | Gurugram +4 other locations,175,1k,30,24,8,--
6274,Compuage Infocom,4.2,(174),Hardware & Networking | Mumbai +41 other locations,174,851,9,8,19,--
6275,Arvind Smartspaces Limited,3.6,(174),Real Estate | Ahmedabad +6 other locations,174,630,15,--,11,--
6276,Escorts Construction Equipment,4.1,(174),Industrial Machinery | Faridabad +25 other locations,174,682,8,--,28,1
6277,Tata Power Renewable Energy,3.9,(174),Power | Bengaluru +37 other locations,174,478,8,--,5,2
6278,Maccaferri,3.7,(174),Real Estate | Gurugram +32 other locations,174,660,11,--,23,--
6279,RattanIndia Power,3.1,(174),Power | Amravati +9 other locations,174,733,8,3,17,--
6280,S.M. Consultants,3.6,(174),Management Consulting | Bhubaneswar +23 other locations,174,606,18,--,13,--
6281,Apptunix,4.2,(174),Software Product | Sahibzada Ajit Singh Nagar +5 other locations,174,451,65,2,5,6
6282,Paisalo Digital,3.7,(174),NBFC | New Delhi +60 other locations,174,418,15,1,5,--
6283,Wibmo,3.1,(174),FinTech | Bengaluru +4 other locations,174,1.1k,7,--,10,--
6284,MEP Infrastructure Developers,3.8,(174),Engineering & Construction | Mumbai +20 other locations,174,876,11,16,18,--
6285,VASANTHA TOOL CRAFTS,3.9,(174),Industrial Machinery | Hyderabad +1 other locations,174,582,12,--,20,--
6286,Anand Rathi Wealth Limited,3.2,(174),Financial Services | Mumbai +23 other locations,174,1.3k,25,--,8,1
6287,Tata Power Renewable Energy,3.9,(174),Power | Bengaluru +37 other locations,174,478,8,--,5,2
6288,Maccaferri,3.7,(174),Real Estate | Gurugram +32 other locations,174,660,11,--,23,--
6289,Ghv India,4.2,(174),Engineering & Construction | Mumbai +31 other locations,174,675,7,--,13,--
6290,RattanIndia Power,3.1,(174),Power | Amravati +9 other locations,174,733,8,3,17,--
6291,Unilog Content Solutions ( P),3.5,(174),Software Product | Mysuru +5 other locations,174,1.2k,17,7,14,--
6292,Unify Technologies,2.9,(174),IT Services & Consulting | Hyderabad +8 other locations,174,1.2k,26,52,19,--
6293,NeST Digital,3.5,(174),IT Services & Consulting | Kochi +9 other locations,174,1.2k,18,106,4,3
6294,Eazy ERP Technologies,3.6,(174),IT Services & Consulting | Gurugram +11 other locations,174,640,16,40,8,8
6295,Compuage Infocom,4.2,(174),Hardware & Networking | Mumbai +41 other locations,174,851,9,8,19,--
6296,Escorts Construction Equipment,4.1,(174),Industrial Machinery | Faridabad +25 other locations,174,682,8,--,28,1
6297,CFlo,4.5,(174),Industrial Machinery | Kolkata +10 other locations,174,409,11,--,16,--
6298,nurture.farm,3.2,(174),Agriculture | Bengaluru +45 other locations,174,718,11,--,9,--
6299,Sri Ranganathar Industries,3.3,(175),Industrial Machinery | Coimbatore +6 other locations,175,800,10,3,6,--
6300,SPIE Oil & Gas Services,4.2,(174),Oil & Gas | Doha +22 other locations,174,269,9,--,22,--
6301,Translumina Therapeutics,3.6,(174),Healthcare | New Delhi +16 other locations,174,566,10,8,55,9
6302,O2 Power,4.5,(174),Power | Gurugram +32 other locations,174,483,8,3,1,--
6303,Informatica,3.8,(174),Software Product | Bengaluru +10 other locations,174,2.2k,31,--,4,7
6304,Automation Anywhere,3.8,(174),Industrial Automation | Bengaluru +13 other locations,174,1.6k,19,15,16,--
6305,iNeuron.ai,4.1,(169),Bengaluru +6 other locations,169,773,17,--,27,--
6306,Opporture,4.8,(173),Content Development | Hyderabad +1 other locations,173,62,2,--,--,--
6307,Cashfree Payments,3.0,(174),FinTech | Bengaluru +6 other locations,174,1.5k,24,31,4,7
6308,Careers360,3.0,(174),Education & Training | Gurugram +10 other locations,174,1.1k,18,1,11,4
6309,Infinity Data Technologies,3.6,(174),IT Services & Consulting | Pune +7 other locations,174,1.2k,2,1,11,--
6310,Traya Health,3.6,(174),Fitness & Wellness | Mumbai +7 other locations,174,428,34,20,2,--
6311,Jagatjit Industries,3.6,(174),Beverage | New Delhi +23 other locations,174,590,6,5,14,6
6312,Gopalan Enterprises,4.1,(174),Real Estate | Bengaluru +6 other locations,174,695,17,3,10,--
6313,Qicpic,2.3,(173),Internet | Bengaluru +58 other locations,173,91,21,--,3,1
6314,Vertex,3.9,(173),Pharma | Hyderabad +22 other locations,173,499,6,--,29,--
6315,AIG,3.8,(173),Insurance | Bengaluru +13 other locations,173,992,10,1,34,11
6316,Gnrc Hospital,3.6,(173),Healthcare | Guwahati +12 other locations,173,593,14,--,11,--
6317,Layam Flexi Solutions,3.7,(173),Recruitment | Chennai +36 other locations,173,608,7,--,14,--
6318,Cubastion Consulting,3.0,(173),IT Services & Consulting | Gurugram +5 other locations,173,1.1k,22,15,13,40
6319,Lawrence & Mayo,3.9,(173),Retail | Hyderabad +28 other locations,173,477,14,--,22,--
6320,Doordarshan,4.0,(173),Broadcasting | New Delhi +39 other locations,173,805,7,3,17,--
6321,Valiant Organics,3.6,(173),Chemicals | Bharuch +12 other locations,173,944,7,--,9,--
6322,GUVI,3.5,(173),EdTech | Chennai +9 other locations,173,801,29,5,3,20
6323,Miles Education - CPA & CMA Review (Hyderabad),,,Education & Training | Bangalore / Bengaluru +12 other locations,--,--,--,--,--,--
6324,B.L. Agro Industries,3.6,(173),Bareilly +21 other locations,173,681,8,--,1,--
6325,Toyota Boshoku Automotive,4.1,(173),Auto Components | Bengaluru +18 other locations,173,691,5,--,13,--
6326,TVS Automobiles Solutions,3.7,(172),Chennai +37 other locations,172,736,6,--,1,--
6327,Altius Customer Services,3.1,(173),BPO | Nagpur +5 other locations,173,661,15,10,19,--
6328,Saraca Solutions,4.1,(173),IT Services & Consulting | Noida +9 other locations,173,536,24,51,20,16
6329,Caparo Group,4.0,(174),Oil & Gas | Chennai +29 other locations,174,737,8,1,13,2
6330,IQ City Medical College,3.4,(173),Education & Training | Durgapur +4 other locations,173,488,10,--,20,--
6331,Integrated Enterprises,3.8,(173),Financial Services | Chennai +32 other locations,173,605,13,2,8,--
6332,Aurus,2.7,(173),FinTech | Pune +4 other locations,173,1.4k,26,5,11,1
6333,DMI,3.9,(173),IT Services & Consulting | Noida +17 other locations,173,1.2k,19,3,6,14
6334,Sharda Hospital,3.7,(173),Healthcare | Greater Noida +7 other locations,173,685,11,--,10,--
6335,Garden Reach Shipbuilders & Engineers,4.2,(173),Ports & Shipping | Kolkata +6 other locations,173,475,7,--,17,--
6336,Sree Metaliks,3.8,(173),Industrial Machinery | Barbil +21 other locations,173,686,12,--,5,--
6337,MGNREGA,3.5,(173),Government | Hyderabad +96 other locations,173,346,7,--,10,--
6338,Goel Ganga Group,3.4,(173),Real Estate | Pune +4 other locations,173,657,12,--,27,--
6339,Singer India,4.0,(173),Consumer Electronics & Appliances | New Delhi +39 other locations,173,569,5,--,19,--
6340,Digamber Finance,4.1,(173),Financial Services | Jaipur +53 other locations,173,419,10,2,8,3
6341,DMI,3.9,(173),IT Services & Consulting | Noida +17 other locations,173,1.2k,19,3,6,14
6342,Epp Composites,3.3,(173),Industrial Machinery | Rajkot +12 other locations,173,672,68,7,7,1
6343,Yashashvi Rasayan,4.1,(173),Metals & Mining | Bharuch +11 other locations,173,703,5,--,25,2
6344,Finecure Pharmaceuticals,3.8,(173),Pharma | Ahmedabad +15 other locations,173,772,14,6,15,--
6345,Keihin India Manufacturing,4.4,(172),Auto Components | Neemrana +9 other locations,172,620,5,--,31,--
6346,Mayoor School,4.3,(172),Education & Training | Noida +9 other locations,172,137,1,10,130,--
6347,Carrefour,3.5,(172),Retail | Gurugram +26 other locations,172,515,9,--,33,--
6348,Pan Gulf Technologies,4.0,(172),Design | Mumbai +8 other locations,172,835,14,4,14,--
6349,Pratibha Syntex,4.0,(172),Fashion & Textile | Indore +12 other locations,172,596,6,8,19,--
6350,Liquiloans,2.9,(172),FinTech | Mumbai +11 other locations,172,814,21,12,2,2
6351,ObjectWin Technology,3.7,(172),Recruitment | Bengaluru +8 other locations,172,1.1k,10,--,5,--
6352,Mervice Infotech,3.8,(181),Kolkata +4 other locations,181,418,44,--,1,--
6353,Gujarat Guardian Ltd.,3.7,(172),Building Material | Ankleshwar +18 other locations,172,720,14,--,24,1
6354,Novopor Advanced Science,4.2,(172),Pharma | Visakhapatnam +5 other locations,172,810,10,5,5,--
6355,Dr Shroff Charity Eye Hospital,3.7,(172),Healthcare | New Delhi +12 other locations,172,436,7,5,14,6
6356,Dayal Group,4.0,(172),Lucknow +41 other locations,172,512,10,18,14,2
6357,Mafatlal Industries,3.7,(172),Mumbai +21 other locations,172,618,6,10,10,--
6358,Xrbia Developers,2.8,(172),Real Estate | Pune +7 other locations,172,852,8,--,11,--
6359,Micromatic Grinding Technologies,3.9,(172),Industrial Machinery | Ghaziabad +7 other locations,172,685,8,7,20,--
6360,Novopor Advanced Science,4.2,(172),Pharma | Visakhapatnam +5 other locations,172,810,10,5,5,--
6361,Lohum Cleantech,3.4,(173),Semiconductors | Greater Noida +9 other locations,173,631,21,--,2,--
6362,APAC Financial Services,4.0,(172),Financial Services | Mumbai +77 other locations,172,498,10,1,6,1
6363,Dr Shroff Charity Eye Hospital,3.7,(172),Healthcare | New Delhi +12 other locations,172,436,7,5,14,6
6364,Mafatlal Industries,3.7,(172),Mumbai +21 other locations,172,618,6,10,10,--
6365,Dayal Group,4.0,(172),Lucknow +41 other locations,172,512,10,18,14,2
6366,Olive Bar & Kitchen,4.0,(172),Hospitality | Mumbai +15 other locations,172,484,5,34,19,--
6367,Ascendum Solutions,3.1,(172),IT Services & Consulting | Bengaluru +8 other locations,172,762,13,--,7,--
6368,Deccan Cements,4.1,(172),Building Material | Hyderabad +16 other locations,172,669,11,--,10,--
6369,Sitics Logistic Solutions,2.9,(172),Financial Services | Palakkad +51 other locations,172,632,9,6,3,2
6370,Antino,2.4,(172),Emerging Technologies | Gurugram +6 other locations,172,829,34,53,27,5
6371,Mayoor School,4.3,(172),Education & Training | Noida +9 other locations,172,137,1,10,130,--
6372,Micromatic Grinding Technologies,3.9,(172),Industrial Machinery | Ghaziabad +7 other locations,172,685,8,7,20,--
6373,Tech2Globe,4.1,(172),IT Services & Consulting | New Delhi +1 other locations,172,290,21,18,14,--
6374,Toyota Kirloskar Auto Parts,4.1,(172),Auto Components | Bengaluru +9 other locations,172,631,5,--,18,--
6375,Trawex Technologies,4.5,(172),Software Product | Bengaluru +1 other locations,172,136,20,7,10,--
6376,Sinch,3.6,(172),Internet | Noida +10 other locations,172,1.2k,16,8,9,--
6377,SEForge,3.3,(172),Engineering & Construction | Coimbatore +6 other locations,172,847,7,--,14,--
6378,First Abu Dhabi Bank,3.2,(172),Banking | Bengaluru +8 other locations,172,928,14,--,20,--
6379,NuSummit,3.5,(172),IT Services & Consulting | Mumbai +9 other locations,172,1.3k,22,28,2,1
6380,NuSummit,3.5,(172),IT Services & Consulting | Mumbai +9 other locations,172,1.3k,22,28,2,1
6381,Linkquest Telecom,3.4,(171),Telecom | Noida +31 other locations,171,463,9,--,9,--
6382,Rane Group,4.0,(171),Auto Components | Chennai +24 other locations,171,721,12,--,16,--
6383,Cytecare Cancer Hospital,4.7,(171),Healthcare | Bengaluru +3 other locations,171,443,14,10,12,4
